
Player Total,2,3,4,5,6,7,8,9,10,A
17,s,s,s,s,s,s,s,s,s,s
16,s,s,s,s,s,h,h,h,h,h
15,s,s,s,s,s,h,h,h,h,h
14,s,s,s,s,s,h,h,h,h,h
13,s,s,s,s,s,h,h,h,h,h
12,h,h,s,s,s,h,h,h,h,h
11,d,d,d,d,d,d,d,d,d,d
10,d,d,d,d,d,d,d,d,h,h
9,h,d,d,d,d,h,h,h,h,h
8,h,h,h,h,h,h,h,h,h,h




